genre	artist_name	track_name	track_id	popularity
Rap	Justin Timberlake	Mirrors	4rHZZAmHpZrA3iH5zx8frV	77
Rock	Chase Rice	Eyes On You	5AnSllIrgGsCZzZJkVnApx	77
Pop	Childish Gambino	Feels Like Summer	7p4vHnYXkxlzvfePJVpcTr	76
Pop	Drake	Passionfruit	5mCPDVBb16L4XQwDdbRUpz	82
Hip-Hop	Danny Ocean	Epa Wei	2QmsKag0YaqhAbpR9Nwmpn	80
Hip-Hop	Eminem	Not Alike (feat. Royce Da 5'9)	28FGV3ORH14MYORd7s5dlU	78
Rap	Drake	Jumpman	27GmP9AWRs744SzKcpJsTZ	77
Rap	Blueface	Thotiana	3oh6SCCeLuXhFpEyepla6G	93
Rap	Eminem	Not Afraid	7Ie9W94M7OjPoZVV216Xus	79
Pop	Normani	Waves (feat. 6LACK)	2qHk6Nz5glNQrjW8Rhd5kv	76
Hip-Hop	Drake	Portland	2bjwRfXMk4uRgOD9IBYl9h	76
Pop	Zara Larsson	Ruin My Life	5tAa8Uaqr4VvA3693mbIhU	88
Rock	Twenty One Pilots	Chlorine	23OXdR7YuUBVWh5hSnYJau	82
Dance	Ariana Grande	Into You	2meEiZKWkiN28gITzFwQo5	84
Pop	Future	Jumpin on a Jet	1I3ZAmPmbFV78oNKnibOiW	78
Pop	Joel Adams	Please Don't Go	3cNjgVBKTJ1SvKhunrCdVy	79
Hip-Hop	Daddy Yankee	Dura	6KuqAtoeVzxAYOaMveLNpH	81
Electronic	Daft Punk	Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit	2Foc5Q5nqNiosCNqttzHof	76
Pop	Lewis Capaldi	Someone You Loved	2TIlqbIneP0ZY1O0EzYLlc	91
Hip-Hop	Lil Wayne	Scared of the Dark (feat. XXXTENTACION)	3vWzyGTu6Ovo1GdrcJqH6e	79
Pop	Ruel	Dazed & Confused	2pyjbGTpJCPjMYwCbdymiF	77
Pop	Rich The Kid	4 Phones	5qu3j7Ou6LyQFSU9N7Sb5x	76
Dance	The Chainsmokers	Closer	7BKLCZ1jbUBVqRi2FVlTVw	86
Pop	Manuel Turizo	Una Lady Como T�	7MHN1aCFtLXjownGhvEQlF	79
Pop	Offset	Wild Wild West (feat. Gunna)	0SQ8yalm13UIJuebuZkQlH	77
Pop	Coldplay	Adventure of a Lifetime	69uxyAqqPIsUyTO8txoP2M	76
Dance	Selena Gomez	Wolves	0tBbt8CrmxbjRP0pueQkyU	86
Pop	Little Mix	Secret Love Song	4JIo8RztBbELr2gWJ5OGK6	77
Hip-Hop	Usher	My Boo	68vgtRHr7iZHpzGpon6Jlo	77
Pop	ChocQuibTown	Pa Olvidarte (feat. Manuel Turizo) - Remix	2ktoFujjJtantyMoVdBJlX	86
Rap	Cardi B	I Like It	58q2HKrzhC3ozto2nDdN4z	90
Dance	Shawn Mendes	There's Nothing Holdin' Me Back	7JJmb5XwzOO8jgpou264Ml	84
Hip-Hop	Meek Mill	On Me (feat. Cardi B)	3DnZfpfe8wLeJgzc00gKeW	76
Rap	Eminem	Without Me	7lQ8MOhq6IN2w8EYcFNSUk	82
Pop	Ruben	Lay By Me	4l6boTiX3Erh3HYpKOa0D6	77
Rock	George Harrison	My Sweet Lord	0qdQUeKVyevrbKhAo0ibxS	77
Rock	The Killers	Mr. Brightside	7oK9VyNzrYvRFo7nQEYkWN	80
Pop	Lil Baby	Yes Indeed	6vN77lE9LK6HP2DewaN6HZ	85
Hip-Hop	Offset	Wild Wild West (feat. Gunna)	0SQ8yalm13UIJuebuZkQlH	77
Rap	Lil Pump	Esskeetit	44KKhCyI0BGS6LvVyDqJtH	78
Pop	Jesse & Joy	Te Esper�	6SFtimpTgM5wdYqTalvtFy	78
Rap	Bryce Vine	Drew Barrymore	0OgGn1ofaj55l2PcihQQGV	78
Dance	Rita Ora	Only Want You	2CTN6UuO2dNEVZXR0DJVk2	78
Hip-Hop	Duki	Sin Culpa (feat. DrefQuila)	3dLiBBKbeUIhzGNeuo5JGS	82
Pop	Drake	Hotline Bling	0wwPcA6wtMf6HUMpIRdeP7	78
Pop	The Weeknd	Pray For Me (with Kendrick Lamar)	77UjLW8j5UAGAGVGhR5oUK	81
Pop	George Ezra	Paradise	38zwkK6TtTjIW9tpYBfZ3D	80
Rap	2 Chainz	Momma I Hit A Lick (feat. Kendrick Lamar)	7jKUnzzOGhAlPjr7LkIUlE	76
Rap	50 Cent	Candy Shop	5D2mYZuzcgjpchVY1pmTPh	78
Pop	Shawn Mendes	In My Blood	2QZ7WLBE8h2y1Y5Fb8RYbH	87
Pop	Kendrick Lamar	HUMBLE.	7KXjTSCq5nL1LoYtL7XAwS	86
Rap	Lil Pump	Racks on Racks	0SfG57HqtBNqKN9O27fo1s	80
Hip-Hop	Migos	Narcos	0wbnC9AUenxp613TYaJsGK	80
Pop	Panic! At The Disco	Say Amen (Saturday Night)	76vMKwFtdDDCLcM6zXybjB	77
Pop	David Guetta	Better When You're Gone	4Tvw0lweq9l2JPQKFbpbBQ	85
Pop	The Goo Goo Dolls	Iris	6vrUTGn5p8IrfTZ0J6sIVM	78
Pop	Alicia Keys	If I Ain't Got You	3XVBdLihbNbxUwZosxcGuJ	80
Dance	NOTD	I Wanna Know (feat. Bea Miller)	18W92Zm1KjLCbUIszOhpkD	79
Hip-Hop	Gunna	3 Headed Snake (feat. Young Thug)	2OaKHGvIxoOzIYjyMsxcT8	76
Rap	Rich The Kid	Plug Walk	1ZAyjvIk9YiD76yYy0TEG6	84
Rock	Arctic Monkeys	R U Mine?	2AT8iROs4FQueDv2c8q2KE	79
Pop	Vanessa Carlton	A Thousand Miles	4w1lzcaoZ1IC2K5TwjalRP	78
Dance	The Vamps	All Night	0dXNQ8dckG4eYfEtq9zcva	77
Rock	The Beatles	Here Comes The Sun - Remastered 2009	6dGnYIeXmHdcikdzNNDMm2	82
Rap	Mac Miller	Ladders	39NDBdU5Xkm5pCFGa5kZtI	77
Rap	A Boogie Wit da Hoodie	Swervin (feat. 6ix9ine)	1wJRveJZLSb1rjhnUHQiv6	91
Pop	Troye Sivan	Dance To This (feat. Ariana Grande)	2NjO87HyT80fsgejd3PLYW	78
Hip-Hop	Wisin & Yandel	Reggaet�n en lo Oscuro	7LLXLd0pisbEAdIVK502VM	82
Hip-Hop	XXXTENTACION	Look At Me!	7floNISpH8VF4z4459Qo18	83
Pop	Michael Jackson	Billie Jean	5ChkMS8OtdzJeqyybCc9R5	83
Dance	Flo Rida	Wild Ones (feat. Sia)	1NpW5kyvO4XrNJ3rnfcNy3	77
Pop	Maggie Lindemann	Pretty Girl - Cheat Codes X CADE Remix	1NDxZ7cFAo481dtYWdrUnR	78
Hip-Hop	Machine Gun Kelly	Bad Things (with Camila Cabello)	1PSBzsahR2AKwLJgx8ehBj	76
Rap	Rich The Kid	Splashin	79OEIr4J4FHV0O3KrhaXRb	88
Rock	Panic! At The Disco	Death Of A Bachelor	1BECwm5qkaBwlbfo4kpYx8	79
Pop	Taylor Swift	Look What You Made Me Do	1JbR9RDP3ogVNEWFgNXAjh	77
Rap	Lil Peep	Save That Shit	0S0vWvyZ6Rc79TXkWxT9QA	81
Pop	Amin�	REEL IT IN	5qHirGR7M9tdm6C17DlzSY	83
Hip-Hop	Kodak Black	Roll In Peace (feat. XXXTENTACION)	40oKW22ZNNkEdZLJTScaQI	82
Pop	Julia Michaels	Issues	7vu0JkJh0ldukEYbTVcqd0	77
Hip-Hop	XXXTENTACION	Guardian angel	7uqcLJFlSYjVPLUz1vPxkY	77
Dance	Zara Larsson	Lush Life	1rIKgCH4H52lrvDcz50hS8	80
Dance	The Chainsmokers	Something Just Like This	6RUKPb4LETWmmr3iAEQktW	83
Pop	benny blanco	I Found You (with Calvin Harris)	5sdb5pMhcK44SSLsj1moUh	82
Rap	Rich The Kid	4 Phones	5qu3j7Ou6LyQFSU9N7Sb5x	76
Hip-Hop	Offset	Legacy (feat. Travis Scott & 21 Savage)	7pMRoGLEJuFM2wl5pt0R99	85
Pop	Kendrick Lamar	LOVE. FEAT. ZACARI.	6PGoSes0D9eUDeeAafB2As	81
Pop	Sigala	Just Got Paid	0v3BMLcwUmAwyqJaf5997o	82
Rap	Post Malone	I Fall Apart	75ZvA4QfFiZvzhj2xkaWAh	88
Pop	BLACKPINK	As If It's Your Last	1Zyd6zQnC6XIIzmg3hP7Ot	78
Pop	Dennis Lloyd	Never Go Back	2QrXzOqLCVDRZHkToA0tSR	82
Rap	6ix9ine	MALA (feat. Anuel Aa)	0LQ1J0BCzA2qnAgp9MkkNE	87
Hip-Hop	Chris Jeday	Bipolar	4WzsycqZkpkS48H9AAAGux	77
Rock	WALK THE MOON	Shut Up and Dance	4kbj5MwxO1bq9wjT5g9HaA	80
Rap	Amin�	Caroline	5hTpBe8h35rJ67eAWHQsJx	78
Hip-Hop	XXXTENTACION	I don�t let go	4axYWgXASdsCBHuwInAubT	77
Rap	Pitbull	Give Me Everything	4QNpBfC0zvjKqPJcyqBy9W	76
Electronic	DJ Snake	Let Me Love You	0lYBSQXN6rCTvUZvg9S0lU	82
Pop	Sean Paul	Temperature	0k2GOhqsrxDTAbFFSdNJjT	77
Pop	Why Don't We	8 Letters	4zRZAmBQP8vhNPf9i9opXt	82
Pop	Shakira	Chantaje (feat. Maluma)	6mICuAdrwEjh6Y6lroV2Kg	78
Dance	Justin Bieber	Friends (with BloodPop�)	7iNIg7XDEaYECfWD5dJ9Va	78
Rock	Cyndi Lauper	Girls Just Want to Have Fun	4y1LsJpmMti1PfRQV9AWWe	76
Dance	OneRepublic	Connection	3T4UodGkfZObJ43RtA5KFU	78
Rap	Post Malone	Go Flex	5yuShbu70mtHXY0yLzCQLQ	83
Rock	Capital Cities	Safe And Sound	6Z8R6UsFuGXGtiIxiD8ISb	77
Ska	Streetlight Manifesto	One Foot on the Gas, One Foot in the Grave	7pP30yF151JsFsxVA43YDl	1
Ska	Jimmy Cliff	Wonderful World, Beautiful People - Single Version	7vCEPLGrLHqBHyRPPsweYY	1
Pop	Gunna	3 Headed Snake (feat. Young Thug)	2OaKHGvIxoOzIYjyMsxcT8	76
Electronic	Flying Lotus	Coronus, the Terminator	79gyBvPc2zj3oIrhI50Eag	1
Rock	Imagine Dragons	Believer (feat. Lil Wayne)	2sU9EjevkrU9OkPZudvFNN	76
Dance	Bruno Mars	Just the Way You Are	7BqBn9nzAq8spo5e7cZ0dJ	80
Hip-Hop	Kendrick Lamar	DNA.	6HZILIRieu8S0iqY8kIKhj	82
Pop	Little Mix	Think About Us (feat. Ty Dolla $ign)	18n2GdCpsHYzkbMKPavE7Y	78
Pop	The Weeknd	Often	4PhsKqMdgMEUSstTDAmMpg	76
Dance	a-ha	Take on Me	2WfaOiMkCvy7F5fcp2zZ8L	84
Rap	Young Thug	Sin (feat. Jaden Smith)	1Jl21sidRpEdlVBvYbssLx	77
Pop	Tory Lanez	TAlk tO Me (with Rich The Kid feat. Lil Wayne) - Remix	51w9Jbat1pLeWINGCpnQUR	84
Pop	Gorillaz	Feel Good Inc	0d28khcov6AiegSCpG5TuT	81
Pop	My Chemical Romance	Welcome to the Black Parade	5wQnmLuC1W7ATsArWACrgW	77
Ska	Sublime	April 29th, 1992 (Leary)	77KuggXmWIkfUzKVkXENc7	1
Rap	Drake	Too Good	3BtuIIrQlkujKPuWF2B85z	76
Pop	Gym Class Heroes	Stereo Hearts (feat. Adam Levine)	0qOnSQQF0yzuPWsXrQ9paz	77
Rock	Red Hot Chili Peppers	Under The Bridge	3d9DChrdc6BOeFsbrZ3Is0	82
Pop	Nelly	Dilemma	0ARK753YaiJbpLUk7z5yIM	78
Hip-Hop	Drake	Passionfruit	5mCPDVBb16L4XQwDdbRUpz	82
Pop	The Notorious B.I.G.	Hypnotize - 2014 Remastered Version	7KwZNVEaqikRSBSpyhXK2j	77
Hip-Hop	Flo Rida	Low (feat. T-Pain)	0CAfXk7DXMnon4gLudAp7J	80
Rap	Destiny's Child	Say My Name	7H6ev70Weq6DdpZyyTmUXk	78
Pop	Martin Garrix	There for You	6jA8HL9i4QGzsj6fjoxp8Y	78
Hip-Hop	KIDS SEE GHOSTS	Reborn	4RVbK6cV0VqWdpCDcx3hiT	77
Rap	Rage Against The Machine	Killing In The Name	59WN2psjkt1tyaxjspN8fp	78
Pop	Demi Lovato	Sorry Not Sorry	3Du2K5dLzmduCNp6uwuaL0	83
Pop	Drake	Fake Love	343YBumqHu19cGoGARUTsd	76
Pop	Natti Natasha	Pa' Mala Yo	1HxD3dW5WpCqd3VMUM29y3	76
Hip-Hop	Eminem	Killshot	1jo3TwNGCXfNdB5uba3ZVv	82
Pop	Natasha Bedingfield	Unwritten	1D1nixOVWOxvNfWi0UD7VX	77
Rock	The 1975	It's Not Living (If It's Not With You)	3TgMcrV32NUKjEG2ujn9eh	79
Rap	Jason Derulo	Tip Toe (feat. French Montana)	2z4pcBLQXF2BXKFvd0BuB6	76
Pop	Kodak Black	Codeine Dreaming (feat. Lil Wayne)	4DTpngLjoHj5gFxEZFeD3J	77
Dance	Soulja Boy	Crank That (Soulja Boy)	66TRwr5uJwPt15mfFkzhbi	77
Dance	Alec Benjamin	Let Me Down Slowly (feat. Alessia Cara)	1roCmBlcpV7LzsmB7pmCyt	77
Pop	The Fray	How to Save a Life	5fVZC9GiM4e8vu99W0Xf6J	81
Hip-Hop	Dr. Dre	Still D.R.E.	503OTo2dSqe7qk76rgsbep	77
Hip-Hop	Drake	Jumpman	27GmP9AWRs744SzKcpJsTZ	77
Rap	Juice WRLD	Empty	41MCdlvXOl62B7Kv86Bb1v	76
Rap	Drake	Portland	2bjwRfXMk4uRgOD9IBYl9h	76
Rap	OneRepublic	Secrets	1NhPKVLsHhFUHIOZ32QnS2	76
Dance	JP Cooper	September Song	0zbzrhfVS9S2TszW3wLQZ7	77
Hip-Hop	Rich The Kid	New Freezer (feat. Kendrick Lamar)	2EgB4n6XyBsuNUbuarr4eG	76
Dance	Mark Ronson	Nothing Breaks Like a Heart (feat. Miley Cyrus)	27rdGxbavYJeBphck5MZAF	92
Pop	Drake	Portland	2bjwRfXMk4uRgOD9IBYl9h	76
Pop	Avicii	Without You (feat. Sandro Cavazza)	6Pgkp4qUoTmJIPn7ReaGxL	84
Pop	Drake	Mob Ties	7rC5Pl8rQSX4myONQHYPBK	80
Rap	Migos	Walk It Talk It	6n4U3TlzUGhdSFbUUhTvLP	84
Pop	Charlie Puth	How Long	6wmAHw1szh5RCKSRjiXhPe	79
Rock	Electric Light Orchestra	Mr. Blue Sky	2RlgNHKcydI9sayD2Df2xp	81
Hip-Hop	Logic	1-800-273-8255	5tz69p7tJuGPeMGwNTxYuV	84
Rap	Jax Jones	You Don't Know Me - Radio Edit	1rFMYAZxBoAKSzXI54brMu	76
Rap	Lil Baby	Drip Too Hard (Lil Baby & Gunna)	78QR3Wp35dqAhFEc2qAGjE	92
Rock	John Mayer	New Light	3bH4HzoZZFq8UpZmI2AMgV	84
Pop	Leslie Grace	Duro y Suave	31M5m42C3EGlbydf9XB5to	79
Rap	XXXTENTACION	Fuck Love (feat. Trippie Redd)	7AQim7LbvFVZJE3O8TYgf2	87
Rock	The Script	Breakeven	38xWaVFKaxZlMFvzNff2aW	76
Pop	Lil Wayne	Mona Lisa (feat. Kendrick Lamar)	0dbTQYW3Ad1FTzIA9t90E8	78
Pop	Martin Garrix	Burn Out (feat. Dewain Whitmore)	7IWTIkiWGWNQyYfOLdMrGD	78
Pop	Mario Bautista	Baby Girl (feat. Lalo Ebratt)	6o8ogTrSX8H0F66Pdz3Tsc	85
Rock	John Mayer	I Guess I Just Feel Like	1HNywa8Bk0TmzRwQrzhtPo	80
Hip-Hop	Blac Youngsta	Booty (feat. Chris Brown, Jeezy & Trey Songz) - Remix	7Go8KtX3ixdb51MqB2gPpH	1
Dance	Zara Larsson	Never Forget You	6hmhG1b4LEyNuashVvuIAo	79
Rap	Kanye West	POWER	2gZUPNdnz5Y45eiGxpHGSc	79
Rap	Kehlani	Nights Like This (feat. Ty Dolla $ign)	6ZRuF2n1CQxyxxAAWsKJOy	85
Pop	Smash Mouth	All Star	3cfOd4CMv2snFaKAnMdnvK	82
Dance	Axwell /\ Ingrosso	More Than You Know	6h5PAsRni4IRlxWr6uDPTP	83
Rap	Kanye West	Gold Digger	1PS1QMdUqOal0ai3Gt7sDQ	80
Pop	Post Malone	Over Now	09IOPhEh1OMe0HD9b36FJk	79
Rock	John Mayer	Slow Dancing in a Burning Room	2jdAk8ATWIL3dwT47XpRfu	78
Rap	Linkin Park	What I've Done	18lR4BzEs7e3qzc0KVkTpU	77
Dance	Beyonc�	Crazy In Love	5IVuqXILoxVWvWEPm82Jxr	78
Hip-Hop	Coolio	Gangsta's Paradise	7lQWRAjyhTpCWFC0jmclT4	80
Pop	Travis Scott	WAKE UP	20MuVazoNMv6xjKPnRFOxG	77
Rock	Audioslave	Like a Stone	3YuaBvuZqcwN3CEAyyoaei	76
Pop	Tyga	Girls Have Fun (feat. G-Eazy & Rich The Kid)	1NHlyKgtR4roNylOhidKSv	83
Rock	Bryan Adams	Heaven	7Ewz6bJ97vUqk5HdkvguFQ	76
Dance	Clean Bandit	I Miss You (feat. Julia Michaels)	0Ult84lvFuqNvbyXwyRQ58	83
Rap	Lil Uzi Vert	XO TOUR Llif3	7GX5flRQZVHRAGd6B4TmDO	86
Pop	Avicii	Hey Brother	4RXpgGM7A4Hg7cFBoH5KyF	79
Rock	Thomas Rhett	Marry Me	0OWZFobGSIW9GrSlQ9C5pc	77
Pop	Joji	YEAH RIGHT	1VGzxJnVQND7Cg5H5wGj14	81
Rap	Kanye West	I Love It (& Lil Pump)	4S8d14HvHb70ImctNgVzQQ	87
Pop	Usher	U Remind Me	2QsZVnbWVSjKMXK6K3uRBL	76
Dance	Bazzi	Why	7lozLnUfzcgEpMMVQI7yhA	78
Pop	Metro Boomin	Overdue (with Travis Scott)	6LyAwkJsHlW7RQ8S1cYAtM	76
Dance	Camila Cabello	Crying in the Club	1SJtlNRJDeYHioymcvsqev	76
Dance	Luis Fonsi	Calypso	4178A5NkEjcsGc64jpBO6d	78
Pop	The 1975	It's Not Living (If It's Not With You)	3TgMcrV32NUKjEG2ujn9eh	79
Pop	Michael Jackson	Don't Stop 'Til You Get Enough - Single Version	46eu3SBuFCXWsPT39Yg3tJ	77
Rock	MKTO	Classic	6FE2iI43OZnszFLuLtvvmg	78
Pop	Piso 21	Te Vi	059bcIhyc2SBwm6sw2AZzd	91
Dance	Ciara	One, Two Step	7uKcScNXuO3MWw6LowBjW1	1
Hip-Hop	Sheck Wes	Mo Bamba	1xzBco0xcoJEDXktl7Jxrr	92
Pop	Kendrick Lamar	King Kunta	0N3W5peJUQtI4eyR6GJT5O	76
Pop	The Chainsmokers	Don't Let Me Down	1i1fxkWeaMmKEB4T7zqbzK	82
Hip-Hop	Lil Wayne	Don't Cry (feat. XXXTENTACION)	5BQrp63SHCVf4bzCzJePne	76
Pop	MadeinTYO	Ned Flanders (feat. A$AP Ferg)	2EUNZfjPToKZIahK0WMLKd	76
Hip-Hop	Drake	God's Plan	6DCZcSspjsKoFjzjrWoCdn	89
Rap	Lil Baby	Yes Indeed	6vN77lE9LK6HP2DewaN6HZ	85
Dance	The Chainsmokers	Beach House	2bQhVQbV7VBzSOPo8mbkUR	76
Pop	Ed Sheeran	Perfect	0tgVpDi06FyKpA1z0VMD4v	89
Pop	YK Osiris	Worth It	4XiGKQqbmnMVxDzUj6j3f2	79
Hip-Hop	Wisin	Esc�pate Conmigo (feat. Ozuna)	1KSqYYJFyfTecXFk9M0prc	80
Pop	Future	Mask Off	0VgkVdmE4gld66l8iyGjgx	82
Dance	benny blanco	Eastside (with Halsey & Khalid)	0d2iYfpKoM0QCKvcLCkBao	91
Hip-Hop	SZA	The Weekend - Funk Wav Remix	0P6AWOA4LG1XOctzaVu5tt	76
Rap	6ix9ine	BEBE (feat. Anuel Aa)	4KkUjFkcQvGvWekl8RATDn	88
Hip-Hop	Mustard	Pure Water (with Migos)	63cd4JkwGgYJrbOizbfmsp	91
Ska	The Specials	Friday Night, Saturday Morning - Live At Le Bataclan	7rdbY6SVgo8xTbnHldJ7zb	1
Rap	French Montana	Unforgettable	3B54sVLJ402zGa6Xm4YGNe	85
Dance	Leona Lewis	Bleeding Love	7wZUrN8oemZfsEd1CGkbXE	80
Rap	Nelly	Dilemma	0ARK753YaiJbpLUk7z5yIM	78
Dance	Why Don't We	Big Plans	6Yx181fZzA0YE2EkUsYruq	85
Pop	Luis Fonsi	Imposible	3ao3OVxHlb3C08vAaApUlm	88
Rock	U2	With Or Without You - Remastered	6ADSaE87h8Y3lccZlBJdXH	79
Dance	Julia Michaels	Issues	7vu0JkJh0ldukEYbTVcqd0	76
Rock	Tears For Fears	Everybody Wants To Rule The World	4RvWPyQ5RL0ao9LPZeSouE	81
Rap	Machine Gun Kelly	Bad Things (with Camila Cabello)	1PSBzsahR2AKwLJgx8ehBj	76
Hip-Hop	Eminem	Venom - Music From The Motion Picture	2SL6oP2YAEQbqsrkOzRGO4	82
Pop	Kygo	Stole the Show	5masKPHeAOVNgxdLebIcK7	76
Hip-Hop	Ski Mask The Slump God	Take A Step Back	2gQYziDV5cSTRSqr6akzi5	79
Rap	Rae Sremmurd	No Type	4scpF6J5uMBvoh6sFB7EL1	76
Rap	Post Malone	Zack And Codeine	5lZZmityu9TAjNvSY6GLhR	77
